PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Matsuda, H; Ninomiya, K; Morikawa, T; Yoshikawa, M				Matsuda, H; Ninomiya, K; Morikawa, T; Yoshikawa, M			Inhibitory effect and action mechanism of sesquiterpenes from Zedoariae rhizoma on D-galactosamine/lipopolysaccharide-induced liver injury	BIOORGANIC & MEDICINAL CHEMISTRY LETTERS			English	Article							CURCUMA	Hepatoprotective sesquiterpenes were isolated from the aqueous acetone extract of Zedoariae Rhizoma, the rhizome of Curcuma zedoaria ROSCOE (Zingiberaceae). Principal sesquiterpenes, furanodiene, germacrone, curdione, neocurdione, curcumenol, isocurcumenol, aerugidiol, zedoarondiol, and curcumenone and curcumin were found to show potent protective effect on D-galactosamine (D-GalN) /lipopolysaccharide (LPS)-induced acute liver injury in mice. Plausible action mechanisms for their hepatoprotective activity were clarified on the basis of the inhibitory effect on D-GalN-induced cytotoxicity in primary cultured rat hepatocytes, LPS-induced NO production in cultured mouse peritoneal macrophages, and D-GalN /tumor necrosis factor-alpha (TNF-alpha)-induced liver injury in mice. (C) 1998 Elsevier Science Ltd. All rights reserved.	Kyoto Pharmaceut Univ, Yamashina Ku, Kyoto 607, Japan		Yoshikawa, M (autor correspondente), Kyoto Pharmaceut Univ, Yamashina Ku, 5 Nakauchi Cho, Kyoto 607, Japan.			Matsuda, Hisashi/0000-0003-4217-065X; Morikawa, Toshio/0000-0003-2794-5365					11	155	166	0	23	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0960-894X	1464-3405		BIOORG MED CHEM LETT	Bioorg. Med. Chem. Lett.	FEB 17	1998	8	4					339	344		10.1016/S0960-894X(98)00021-3	http://dx.doi.org/10.1016/S0960-894X(98)00021-3			6	Chemistry, Medicinal; Chemistry, Organic	Science Citation Index Expanded (SCI-EXPANDED)	Pharmacology & Pharmacy; Chemistry	YY746	9871681				2022-09-29	WOS:000072179900004
J	Kim, DI; Lee, TK; Jang, TH; Kim, CH				Kim, DI; Lee, TK; Jang, TH; Kim, CH			The inhibitory effect of a Korean herbal medicine, Zedoariae rhizoma, on growth of cultured human hepatic myofibroblast cells	LIFE SCIENCES			English	Article						Zedoariae rhizome; cellular proliferation; human hepatic myofibroblasts (hMF); antifibrotic agents; growth inhibition; prostaglandin E2; COX-2; antiproliferative effect; liver fibrogenesis	CHINESE NATURAL MEDICINES; NECROSIS-FACTOR-ALPHA; STELLATE CELLS; BIOACTIVE CONSTITUENTS; ABSOLUTE STEREOSTRUCTURES; LIVER MYOFIBROBLASTS; CHEMICAL STRUCTURES; UNDERGROUND PART; MEDIATED PATHWAY; RHODIOLAE RADIX	The aim of this study was to assess the effect of ZR on the growth of cultured human hepatic myofibroblast cells (hMF). The zedoary (Zedoariae Rhizoma) made from the dried rhizome of Curcuma zedoaria Roscoe is an herbal drug used as an aromatic stomachic. The plant is a perennial herb which is natively distributed throughout Korea and is a traditional Korean herbal medicine. Zedoariae rhizoma is a bioactive traditional medicine with antitumor, anti-atherosclerosis, anti-inflammation, and growth-regulating properties. During the course of liver fibrogenesis, hMF, mostly derived from hepatic stellate cells, proliferate and synthesize excessive amounts of extracellular matrix components. To evaluate the antiproliferative effect of a traditional herbal medicine, Zedoariae rhizoma water extracts (ZR) was examined on the growth inhibition of hMF since proliferation of hMF is known to be central for the development of fibrosis during liver injury, and factors that may limit their growth are potential antifibrotic agents. The aim of this study was to test the effects of ZR on the proliferation in cultured hMF. hMF were obtained by outgrowth from human liver explants. ZR markedly reduced serum driven cell proliferation, as assessed by nuclear autoradiography experiments and measurement of actual cell growth. Growth inhibition was totally reversed after removal of the ZR. ZR potently inhibited hMF growth (IC50 = 8.5 mu g/ml), in a pertussis toxininsensitive manner. Analysis of the mechanisms involved in growth inhibition revealed that ZR rapidly increased prostaglandin E2 production and in turn cAMP, which inhibited hMF proliferation, did not affect cAMP levels. Production of cAMP by ZR was abolished by NS-398, a selective inhibitor of cycloxygenase (COX)-2. Also, ZR potently induced COX-2 protein expression. Blocking COX-2 by NS-398 blunted the antiproliferative effect of ZR. We conclude that ZR inhibits proliferation of bMF, probably via an intracellular mechanism, through early COX-2-dependent release of prostaglandin E2 and cAMP, and delayed COX-2 induction. Our results indicated a novel role for ZR as a growth inhibitory mediator and pointed out its potential involvement in the negative regulation of liver fibrogenesis. The results that ZR exhibits potent antiproliferative and antifibrogenic effects toward hMF, indicated that ZR might have therapeutic implications in chronic liver disease. (c) 2005 Elsevier Inc. All rights reserved.	Dongguk Univ, NRLG, Kyungju 780714, Kyungbuk, South Korea; Dongguk Univ, Dept Biochem Mol Biol & Gynecol, Coll Oriental Med, Kyungju 780714, Kyungbuk, South Korea		Kim, CH (autor correspondente), Dongguk Univ, Dept Biochem & Mol Biol, Sukjang Dong 707, Kyungju 780714, Kyungbuk, South Korea.	chkimbio@dongguk.ac.kr							46	10	13	0	6	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0024-3205	1879-0631		LIFE SCI	Life Sci.	JUL 8	2005	77	8					890	906		10.1016/j.lfs.2005.01.016	http://dx.doi.org/10.1016/j.lfs.2005.01.016			17	Medicine, Research & Experimental; Pharmacology & Pharmacy	Science Citation Index Expanded (SCI-EXPANDED)	Research & Experimental Medicine; Pharmacology & Pharmacy	941TV	15964308				2022-09-29	WOS:000230238000005
J	Wilson, B; Abraham, G; Manju, VS; Mathew, M; Vimala, B; Sundaresan, S; Nambisan, B				Wilson, B; Abraham, G; Manju, VS; Mathew, M; Vimala, B; Sundaresan, S; Nambisan, B			Antimicrobial activity of Curcuma zedoaria and Curcuma malabarica tubers	JOURNAL OF ETHNOPHARMACOLOGY			English	Article						Curcuma zedoaria; Curcuma malabarica; antibacterial and antifungal activity	TURMERIC OIL; ZINGIBERACEAE	The antimicrobial activity of extracts of Curcuma zedoaria and Curcuma malabarica tubers was tested against six bacterial and two fungal strains using the agar well diffusion and broth dilution methods. Petroleum ether, hexane, chloroform, acetone and ethanol extracts exhibited antibacterial as well as antifungal activity. Acetone and hexane extracts of both tubers showed comparable antimicrobial activity as indicated by minimum inhibitory concentration (MIC) values, but other extracts of Curcuma malabarica showed significantly lower activity than those of Curcuma zedoaria. The MIC values for different strains and extracts ranged from 0.01 to 0. 15 mg/ml in Curcuma zedoaria and from 0.01 to 0.94 mg/ml in Curcuma malabarica. Staphylococcus aureus (Gram positive) was inhibited by Curcuma malabarica but not by Curcuma zedoaria. This study is the first report of the antimicrobial properties of Curcuma malabarica. The findings also support the use of Curcuma zedoaria tubers in traditional medicine for the treatment of bacterial and fungal infections. (c) 2005 Elsevier Ireland Ltd. All rights reserved.	Cent Tuber Crops Res Inst, Div Crop Utilizat & Biotechnol, Thiruvananthapuram 695017, Kerala, India; CNRS, Ctr Rech Paul Pascal, F-33600 Pessac, France; Coll Pharmaceut Sci, Coll Med, Thiruvananthapuram, Kerala, India		Nambisan, B (autor correspondente), Cent Tuber Crops Res Inst, Div Crop Utilizat & Biotechnol, Thiruvananthapuram 695017, Kerala, India.	balanambisan@yahoo.co.uk	Tobón, Juan Felipe Osorio/G-6877-2012						14	121	131	2	16	ELSEVIER IRELAND LTD	CLARE	ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, 00000, IRELAND	0378-8741			J ETHNOPHARMACOL	J. Ethnopharmacol.	MAY 13	2005	99	1					147	151		10.1016/j.jep.2005.02.004	http://dx.doi.org/10.1016/j.jep.2005.02.004			5	Plant Sciences; Chemistry, Medicinal; Integrative & Complementary Medicine; Pharmacology & Pharmacy	Science Citation Index Expanded (SCI-EXPANDED)	Plant Sciences; Pharmacology & Pharmacy; Integrative & Complementary Medicine	925ON	15848035				2022-09-29	WOS:000229062500024
J	Wardiningsih, W; Efendi, S; Mulyani, RW; Totong, T; Rudy, R; Pradana, S				Wardiningsih, Wiah; Efendi, Sandra; Mulyani, Rr. Wiwiek; Totong, Totong; Rudy, Ryan; Pradana, Samuel			Extraction and characterization of curcuma zedoaria pseudo-stems fibers for textile application	RESEARCH JOURNAL OF TEXTILE AND APPAREL			English	Article; Early Access						Curcuma zedoaria; Fiber extraction; Water retting; Fiber characterization; Waste fiber; Pseudo-stems fiber; Natural fiber; Curcuma zedoaria fiber; Agricultural waste fiber	INDIAN PINEAPPLE LEAF; NATURAL FIBER; REINFORCEMENT; POTENTIALITY; LIGHTWEIGHT	Purpose - This study aims to characterize the properties of natural cellulose fiber from the pseudo-stems of the curcuma zedoaria plant. Design/methodology/approach - The fiber was extracted using the biological retting process (cold-water retting). The intrinsic fiber properties obtained were used to evaluate the possibility of using fiber for textile applications. Findings - The average length of a curcuma zedoaria fiber was 34.77 cm with a fineness value of 6.72 Tex. A bundle of curcuma zedoaria fibers was comprised of many elementary fibers. Curcuma zedoaria had an irregular cross-section, with the lumen having a varied oval shape. Curcuma zedoaria fibers had tenacity and elongation value of 3.32 gf/denier and 6.95%, respectively. Curcuma zedoaria fibers had a coefficient of friction value of 0.46. Curcuma zedoaria fibers belong to a hygroscopic fiber type with a moisture regain value of 10.29%. Originality/value - Extraction and Characterization of Curcuma zedoaria Pseudo-stems Fibers for Textile Application.	[Wardiningsih, Wiah; Efendi, Sandra; Totong, Totong; Rudy, Ryan] Polytech Text Technol, Dept Text Engn, Bandung, Indonesia; [Mulyani, Rr. Wiwiek] Polytech Text Technol, Dept Text Chem, Bandung, Indonesia; [Pradana, Samuel] Univ Negeri Padang, Dept Family Welf Sci, Padang, Indonesia		Wardiningsih, W (autor correspondente), Polytech Text Technol, Dept Text Engn, Bandung, Indonesia.	wiahwards@gmail.com	Wardiningsih, Wiah/ABF-8005-2021	Wardiningsih, Wiah/0000-0001-6767-3355					55	0	0	1	1	EMERALD GROUP PUBLISHING LTD	BINGLEY	HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND	1560-6074			RES J TEXT APPAR	Res. J. Text. Appar.												10.1108/RJTA-03-2022-0025	http://dx.doi.org/10.1108/RJTA-03-2022-0025		JUL 2022	15	Materials Science, Textiles	Emerging Sources Citation Index (ESCI)	Materials Science	2V1TJ					2022-09-29	WOS:000823634100001
J	Guo, SB; Tian, Y; Jian, LY				Guo, Shan-Bin; Tian, Yue; Jian, Ling-Yan			Study on Extraction Process of Curcuma zedoaria Volatile Oil and Its Effect on Anticancer	ASIAN JOURNAL OF CHEMISTRY			English	Article						Curcuma zedoaria; Volatile oil; SGC-7901; Proliferation and apoptosis	HEPATOCELLULAR-CARCINOMA; CANCER; GROWTH; CELLS; APOPTOSIS; PROGNOSIS	To investigate the extraction process of Curcuma zedoaria volatile oil and its effect on proliferation and apoptosis of human gastric cancer SGC-7901 cells. Orthogonal experimental method was used to analyze the effect of extraction factors-crushing degree, amount of added water and distillation time-on Curcuma zedoaria oil; MTT assay, PI staining and flow cytometry were used to study the effect of Curcuma zedoaria oil on human gastric cancer SGC-7901 cells. The crushing degree, amount of added water and distillation time all affect the extraction of Curcuma zedoaria oil, Curcuma zedoaria oil can inhibit human gastric cancer SGC-7901 cell proliferation and induce its apoptosis.	[Guo, Shan-Bin; Jian, Ling-Yan] China Med Univ, Shengjing Hosp, Dept Pharm, Shenyang, Peoples R China; [Tian, Yue] China Med Univ, Shengjing Hosp, Dept Anesthesiol, Shenyang, Peoples R China		Jian, LY (autor correspondente), China Med Univ, Shengjing Hosp, Dept Pharm, Shenyang, Peoples R China.	kangtg@126.com; jianlingyan126@126.com							14	3	4	1	10	ASIAN JOURNAL OF CHEMISTRY	SAHIBABAD	11/100 RAJENDRA NAGAR, SECTOR 3,, SAHIBABAD 201 005, GHAZIABAD, INDIA	0970-7077			ASIAN J CHEM	Asian J. Chem.	OCT	2013	25	13	A				7617	7620		10.14233/ajchem.2013.15494	http://dx.doi.org/10.14233/ajchem.2013.15494			4		Science Citation Index Expanded (SCI-EXPANDED)		227HM		Bronze			2022-09-29	WOS:000325103300122
J	Tan, XY; Xu, MT; Liu, FY; Xu, M; Yao, Y; Tang, DC				Tan, Xiying; Xu, Mengting; Liu, Fuyan; Xu, Ming; Yao, Yi; Tang, Decai			Antimetastasis Effect of Astragalus membranaceus-Curcuma zedoaria via -Catenin Mediated CXCR4 and EMT Signaling Pathway in HCT116	EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE			English	Article							COLON-CANCER; ADJUVANT; THERAPY	Astragalus membranaceus and Curcuma zedoaria, two traditional Chinese medicines, are widely used together in colorectal cancer adjuvant treatment. Many different mechanisms should be involved in the benefit effect of Astragalus membranaceus and Curcuma zedoaria. In this study, we established that the combined extract from Astragalus membranaceus and Curcuma zedoaria (HQEZ) decreased the metastasis ability in colorectal cancer cells (HCT116, a cell line of colorectal carcinoma established from Homo sapiens) in vitro, and the treatment induced the downregulation of EMT signal and decreased CXCR4 expression and the level of -catenin. Overexpression of CXCR4 and the administration of the agonist and inhibitor to -catenin signal pathway were used to explore the mechanism of Astragalus membranaceus and Curcuma zedoaria in colorectal cancer treatment. The data demonstrated that HQEZ increased the phosphorylation of -catenin which related to the degradation of -catenin, and it induced the downregulation of EMT signal and CXCR4. It meant that the influence of -catenin should be a key event in the antimetastasis effects of Astragalus membranaceus-Curcuma zedoaria in colorectal cancer model. These findings revealed the potential effect and mechanism of Astragalus membranaceus-Curcuma zedoaria in colorectal cancer treatment and provided insight for optimization of the usage.	[Tan, Xiying; Liu, Fuyan; Tang, Decai] Nanjing Univ Chinese Med, Nanjing, Jiangsu, Peoples R China; [Tan, Xiying; Yao, Yi] Nanjing Univ Chinese Med, Affiliated Hosp, Dept Pharm, Nanjing, Jiangsu, Peoples R China; [Xu, Mengting; Xu, Ming] China Pharmaceut Univ, Nanjing, Jiangsu, Peoples R China		Tang, DC (autor correspondente), Nanjing Univ Chinese Med, Nanjing, Jiangsu, Peoples R China.	talknow@njucm.edu.cn			Natural Science Foundation of China [81573627, 81873021]; Postgraduate Research & Practice Innovation Program of Jiangsu Province [KYCX18_1603]	Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); Postgraduate Research & Practice Innovation Program of Jiangsu Province	We thank Dr. Yu Zhang (Nanjing Medical University) for critical proofreading. This work was supported by Natural Science Foundation of China (Grant/Award Numbers: 81573627 and 81873021) and Postgraduate Research & Practice Innovation Program of Jiangsu Province (Grant/Award Number: KYCX18_1603).		27	8	10	7	12	HINDAWI LTD	LONDON	ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, W1T 5HF, ENGLAND	1741-427X	1741-4288		EVID-BASED COMPL ALT	Evid.-based Complement Altern. Med.		2019	2019								9692350	10.1155/2019/9692350	http://dx.doi.org/10.1155/2019/9692350			10	Integrative & Complementary Medicine	Science Citation Index Expanded (SCI-EXPANDED)	Integrative & Complementary Medicine	IC5NR		Green Published, Green Submitted, gold			2022-09-29	WOS:000471015400001
J	Lee, TK; Lee, D; Lee, SR; Ko, YJ; Kang, KS; Chung, SJ; Kim, KH				Lee, Tae Kyoung; Lee, Dahae; Lee, Seoung Rak; Ko, Yoon-Joo; Kang, Ki Sung; Chung, Sang Jeon; Kim, Ki Hyun			Sesquiterpenes from Curcuma zedoaria rhizomes and their cytotoxicity against human gastric cancer AGS cells	BIOORGANIC CHEMISTRY			English	Article						Curcuma zedoaria; Sesquiterpenes; NMR; Gastric cancer; Cytotoxicity	KOREAN RED GINSENG; NATURAL-PRODUCTS; INDUCTION; APOPTOSIS; WENYUJIN; EXTRACT	Curcuma zedoaria rhizome (Zingiberaceae) is a well-known traditional medicinal plant used in Ayurvedic and traditional Chinese medicine to treat various cancers. This study aimed to identify the cytotoxic components from C. zedoaria rhizomes that act against gastric cancer, which is the third leading cause of death from cancer worldwide because the MeOH extract of C. zedoaria rhizome was found to show a cytotoxic effect against gastric cancer AGS cells. Repeated column chromatography and semi-preparative HPLC purification were used to separate the components from the C. zedoaria MeOH extract. Two new sesquiterpenes, curcumenol-9,10-epoxide (1) and curcuzedoalide B (2), and 12 known related sesquiterpenes (3-14) were isolated from the C. zedoaria MeOH extract. The structures of new compounds were determined by 1D and 2D NMR spectroscopic experiments and HR-ESIMS, and quantum chemical ECD calculations. The cytotoxic effects of the isolated compounds were measured in human gastric cancer AGS cells using an MTT cell viability assay. Compounds 9, 10, and 12 exhibited cytotoxic effects against gastric cancer AGS cells, with IC50, values in the range of 212-392 mu M. These findings provide further experimental scientific evidence to support the traditional use of C. zedoaria rhizomes for the treatment of cancer. Curcumenol (9), 4,8-dioxo-6 beta-methoxy-7 alpha,11-epoxycarabrane (10), and zedoarofuran (12) were identified as the main cytotoxic components in C. zedoaria rhizomes.	[Lee, Tae Kyoung; Lee, Dahae; Lee, Seoung Rak; Chung, Sang Jeon; Kim, Ki Hyun] Sungkyunkwan Univ, Sch Pharm, Suwon 16419, South Korea; [Ko, Yoon-Joo] Seoul Natl Univ, Natl Ctr Inter Univ Res Facil NCIRF, Lab Nucl Magnet Resonance, Seoul 08826, South Korea; [Kang, Ki Sung] Gachon Univ, Coll Korean Med, Seongnam 13120, South Korea		Kim, KH (autor correspondente), Sungkyunkwan Univ, Sch Pharm, Suwon 16419, South Korea.	khkim83@skku.edu			National Research Foundation of Korea (NRF) - Korea government (MSIT) [2018R1A2B2006879]	National Research Foundation of Korea (NRF) - Korea government (MSIT)	This work was supported by the National Research Foundation of Korea (NRF) grant funded by the Korea government (MSIT) (2018R1A2B2006879). We would like to thank Dr. Young Hye Kim (Korea Basic Science Institute) for ESI-MS analysis.		39	18	18	1	25	ACADEMIC PRESS INC ELSEVIER SCIENCE	SAN DIEGO	525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA	0045-2068	1090-2120		BIOORG CHEM	Bioorganic Chem.	JUN	2019	87						117	122		10.1016/j.bioorg.2019.03.015	http://dx.doi.org/10.1016/j.bioorg.2019.03.015			6	Biochemistry & Molecular Biology; Chemistry, Organic	Science Citation Index Expanded (SCI-EXPANDED); Index Chemicus (IC)	Biochemistry & Molecular Biology; Chemistry	HZ7IC	30884305				2022-09-29	WOS:000469026400013
J	Li, DM; Zhu, GF; Xu, YC; Ye, YJ; Liu, JM				Li, Dong-Mei; Zhu, Gen-Fa; Xu, Ye-Chun; Ye, Yuan-Jun; Liu, Jin-Mei			Characterization and phylogenetic analysis of the complete chloroplast genome of Curcuma zedoaria (Zingiberaceae)	MITOCHONDRIAL DNA PART B-RESOURCES			English	Article						Curcuma zedoaria; Zingiberaceae; chloroplast genome; phylogenetic analysis; single nucleotide polymorphism	INHIBITION	The first complete chloroplast genome of Curcuma zedoaria (Zingiberaceae) was reported in this study. The C. zedoaria chloroplast genome was 162,135 bp in length, and consisted of one large single-copy (LSC) region of 86,966 bp, one small single-copy (SSC) region of 15,737 bp, and a pair of inverted repeat (IR) regions 29,716 bp. It encoded 141 genes, including 87 protein-coding genes (79 PCG species), 46 tRNA genes (28 tRNA species), and 8 rRNA genes (4 rRNA species). The phylogenetic analysis based on single nucleotide polymorphisms strongly supported that C. zedoaria, Curcuma roscoeana, Curcuma longa, and Stahlianthus involucratus clustered together in group Curcuma II within the family Zingiberaceae.	[Li, Dong-Mei; Zhu, Gen-Fa; Xu, Ye-Chun; Ye, Yuan-Jun; Liu, Jin-Mei] Guangdong Acad Agr Sci, Guangdong Key Lab Ornamental Plant Germplasm Inno, Environm Hort Res Inst, Guangzhou 510640, Peoples R China		Li, DM; Zhu, GF (autor correspondente), Guangdong Acad Agr Sci, Guangdong Key Lab Ornamental Plant Germplasm Inno, Environm Hort Res Inst, Guangzhou 510640, Peoples R China.	biology.li2008@163.com; genfazhu@163.com	xu, ye/GQO-8972-2022	Li, Dong-Mei/0000-0002-4657-7062	Guangzhou Municipal Science and Technology Project [201607010101]; National Natural Science Foundation of China [31501788]; Guangdong Science and Technology Project [2015A020209078]; Construction, Conservation and Evaluation of Flower Germplasm Resources (Garden) Subproject of Construction, Conservation and Evaluation of Crop Germplasm Resources (Garden) Project in Guangdong Province	Guangzhou Municipal Science and Technology Project; National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)); Guangdong Science and Technology Project; Construction, Conservation and Evaluation of Flower Germplasm Resources (Garden) Subproject of Construction, Conservation and Evaluation of Crop Germplasm Resources (Garden) Project in Guangdong Province	This work was financially supported by Guangzhou Municipal Science and Technology Project [No. 201607010101], National Natural Science Foundation of China [No. 31501788], Guangdong Science and Technology Project [No. 2015A020209078] and the Construction, Conservation and Evaluation of Flower Germplasm Resources (Garden) Subproject of Construction, Conservation and Evaluation of Crop Germplasm Resources (Garden) Project in Guangdong Province.		9	2	2	2	5	TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND		2380-2359		MITOCHONDRIAL DNA B	Mitochondrial DNA Part B-Resour.	APR 2	2020	5	2					1329	1331		10.1080/23802359.2020.1734496	http://dx.doi.org/10.1080/23802359.2020.1734496			3	Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Genetics & Heredity	KT4DA		gold			2022-09-29	WOS:000518964200001
J	Lan, TTP; Huy, ND; Luong, NN; Nghi, NV; Tan, TH; Quan, LV; Loc, NH				Truong Thi Phuong Lan; Nguyen Duc Huy; Nguyen Ngoc Luong; Nguyen Van Nghi; Trinh Huu Tan; Le Viet Quan; Nguyen Hoang Loc			Identification and Characterization of Genes in the Curcuminoid Pathway of Curcuma zedoaria Roscoe	CURRENT PHARMACEUTICAL BIOTECHNOLOGY			English	Article						Curcuma zedoaria; callus; curcumin; curcumin synthase genes; curcuminoid metabolic pathway; diketide-CoA synthase gene	EXPRESSION; BIOTRANSFORMATION; ELICITOR; CULTURES; CELLS; DNA	Background: Curcuminoid genes have an important role in the biosynthesis of curcumin, a valuable bioactive compound, in Curcuma species. However, there have not been any reports of these genes in Curcuma zedoaria. Objective: The present work reports on the isolation of genes encoding enzymes in curcuminoid metabolic pathway and their expression in C. zedoaria. Method: The primers were designed from untranslation regions of DCS, CURS1, CURS2 and CURS3 genes which are involved in curcuminoid biosynthesis in C. longa to isolate the corresponding full-length genes in C. zedoaria. RT-PCR amplification and HPLC analysis are used to estimate the expression of genes and biosynthesis of curcumin in both rhizome and callus. Results: The results showed that all four genes from C. zedoaria (named CzDCS, CzCURS1, CzCURS2 and CzCURS3) and C. longa have a high identity (approximately 99%) and lengths of genes from C. zedoaria are 1382, 1240, 1288 and 1265 nu, respectively. CzCURS1, 2 and 3 genes have one intron while CzDCS has two introns. RT-PCR amplification indicated that curcuminoid genes expressed mRNA in rhizome and callus of C. zedoaria. Curcumin, a major component of curcuminoids, was also found in callus by HPLC analysis. Conclusion: The sequence information of DCS and CURS1-3 genes in C. zedoaria will be very valuable for a subsequent study on the effects of elicitors on the transcription of genes involved in curcuminoid biosynthesis pathway.	[Truong Thi Phuong Lan; Nguyen Ngoc Luong; Nguyen Van Nghi; Le Viet Quan; Nguyen Hoang Loc] Hue Univ, Coll Sci, Inst Bioact Cpds, 77 Nguyen Hue St, Hue, Vietnam; [Truong Thi Phuong Lan] Hue Univ, Coll Med & Pharm, 6 Ngo Quyen St, Hue, Vietnam; [Nguyen Duc Huy; Trinh Huu Tan] Hue Univ, Inst Biotechnol, Phu Vang, Thua Thien Hue, Vietnam		Loc, NH (autor correspondente), Hue Univ, Coll Sci, Inst Bioact Cpds, 77 Nguyen Hue St, Hue, Vietnam.	nhloc@hueuni.edu.vn	Loc, Nguyen Hoang/AAG-1516-2021; Duc Huy, Nguyen/ABB-2157-2021; Phong, KHCN-HTQT/AAJ-5480-2020	Loc, Nguyen Hoang/0000-0002-6387-0359; Duc Huy, Nguyen/0000-0002-9146-1122; Le, Quan/0000-0003-3077-5184; Ngoc Luong, Nguyen/0000-0002-6123-7437	Hue University, Vietnam [DHH 2016-04-56]	Hue University, Vietnam	This work was funded by grant of Hue University, Vietnam (Code number: DHH 2016-04-56).		28	5	6	1	13	BENTHAM SCIENCE PUBL LTD	SHARJAH	EXECUTIVE STE Y-2, PO BOX 7917, SAIF ZONE, 1200 BR SHARJAH, U ARAB EMIRATES	1389-2010	1873-4316		CURR PHARM BIOTECHNO	Curr. Pharm. Biotechnol.		2018	19	10					839	846		10.2174/1389201019666181008112244	http://dx.doi.org/10.2174/1389201019666181008112244			8	Biochemistry & Molecular Biology; Pharmacology & Pharmacy	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Pharmacology & Pharmacy	HD4XZ	30295188				2022-09-29	WOS:000452533100009
J	Gao, XF; Li, QL; Li, HL; Zhang, HY; Su, JY; Wang, B; Liu, P; Zhang, AQ				Gao, Xiu-fei; Li, Qing-lin; Li, Hai-long; Zhang, Hong-yan; Su, Jian-ying; Wang, Bei; Liu, Pei; Zhang, Ai-qin			Extracts from Curcuma zedoaria Inhibit Proliferation of Human Breast Cancer Cell MDA-MB-231 In Vitro	EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE			English	Article							E-CADHERIN EXPRESSION; CHEMOKINE RECEPTOR; TUMOR-CELLS; BASAL-LIKE; CXCR4; METASTASIS; GROWTH; CHEMORESISTANCE; ACTIVATION; SURVIVAL	Objective. To evaluate the effect of petroleum ether extracts of Curcuma zedoaria on the proliferation of human triple negative breast cancer cell line MDA-MB-231. Methods. The reagents were isolated from Curcuma zedoaria by petroleum ether fraction. It was assayed by CCK8 for MDA-MB-231 cellular viability with various concentrations and days, cell cycle analyses, Western Blot analysis, and Realtime Reverse Transcriptase PCR analyses for chemokines molecules including E-cadherin, and E-selectin, and adhesion molecules including CCR7, SLC, SDF-1, and CXCR4. Epirubicin was used as control in the study. Results. MDA-MB-231 cells were inhibited by petroleum ether extracts of Curcuma zedoaria (P < 0.05), and the inhibition rate was dependent on concentrations and time. Petroleum ether extracts of Curcuma zedoaria as well as Epirubicin produce a significant G0/G1 cell cycle arrest. The level of expression of proteins E-cadherin and E-cadherin mRNA was significantly increased, while proteins SDF-1, CCR7, and CXCR4 mRNA were decreased after being incubated with petroleum ether extracts of Curcuma zedoaria at the concentrations of 300 mu g/mL than control (P < 0.05). The differences were that the protein CXCR4 mRNA expression level was higher than vehicle. Conclusions. MDA-MB-231 cells were inhibited by petroleum ether extracts of Curcuma zedoaria.	[Gao, Xiu-fei; Li, Hai-long; Su, Jian-ying; Wang, Bei; Liu, Pei] Zhejiang Chinese Med Univ, Affiliated Hosp 1, Hangzhou 310006, Zhejiang, Peoples R China; [Li, Qing-lin; Zhang, Hong-yan; Zhang, Ai-qin] Zhejiang Canc Hosp, Hangzhou 310022, Zhejiang, Peoples R China		Zhang, AQ (autor correspondente), Zhejiang Canc Hosp, Hangzhou 310022, Zhejiang, Peoples R China.	zhanghaojianbb@163.com							39	15	15	1	24	HINDAWI LTD	LONDON	ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, W1T 5HF, ENGLAND	1741-427X	1741-4288		EVID-BASED COMPL ALT	Evid.-based Complement Altern. Med.		2014	2014								730678	10.1155/2014/730678	http://dx.doi.org/10.1155/2014/730678			9	Integrative & Complementary Medicine	Science Citation Index Expanded (SCI-EXPANDED)	Integrative & Complementary Medicine	AH5CH	24883070	gold, Green Submitted, Green Published			2022-09-29	WOS:000336145600001
